,이수구분,과목명,학점,시간
4,공필,신입생세미나1,1,1
5,공필,문제해결을위한글쓰기와발표,3,3
6,공필,우주자연인간,1,1
7,기필,고급프로그래밍활용,3,3
8,기필,기초미적분학,3,4
9,전필,C프로그래밍및실습,3,4
14,기필,인공지능과빅데이터,3,3
15,전필,자료구조및실습,3,4
16,전필,문제해결및실습:C++,3,3
17,전선,일반물리및시뮬레이션,3,3
18,전선,멀티미디어프로그래밍,3,3
19,전선,웹프로그래밍,3,3
20,전선,윈도우즈프로그래밍,3,3
21,전선,확률통계및프로그래밍,3,3
27,전필,데이터베이스,3,3
28,전필,운영체제,3,3
29,전필,오픈소스SW개론,3,3
30,전선,수치해석,3,3
31,전선,게임프로그래밍,3,3
32,전선,소프트웨어교육1,3,3
39,전필,Captstone디자인(산학협력프로젝트),6,6
40,전선,졸업연구및진로1,1,1
41,전선,인턴쉽1,3,3
42,전선,가상현실,3,3
43,전선,컴퓨터애니메이션,3,3
44,전선,기계학습,3,3
45,전선,패턴인식,3,3
46,전선,영상처리,3,3
47,전선,고급데이터베이스,3,3
48,전선,소프트웨어특강1,3,3
50,공필,창업과기업가정신1,1,1
51,공필,취창업과진로설계,1,1
4,공필,신입생세미나2,1,1
5,공필,서양철학:쟁점과토론,3,3
6,공필,대학영어,2,3
7,기필,공업수학1,3,3
8,전필,고급C프로그래밍및실습,3,4
9,전선,창의SW융합노마드,3,3
14,기필,통계학개론,3,3
15,전필,SW설계기초(산학프로젝트입문),3,3
16,전필,컴퓨터구조,3,3
17,전필,알고리즘및실습,3,4
18,전선,문제해결및실습: JAVA,3,3
19,전선,선형대수및프로그래밍,3,3
20,전선,K-MOOC:멀티미디어,3,3
21,전선,이산수학및프로그래밍,3,3
27,전선,오픈소스SW공학,3,3
28,전선,컴퓨터네트워크,3,3
29,전선,컴퓨터그래픽스,3,3
30,전선,음성오디오처리,3,3
31,전선,데이터베이스프로그래밍,3,3
32,전선,데이터공학 ,3,3
33,전선,소프트웨어공학,3,3
34,전선,앱프로그래밍,3,3
35,전선,소프트웨어교육2,3,3
39,전선,졸업연구및진로2,1,1
40,전선,인턴쉽2,3,3
41,전선,HCI개론,3,3
42,전선,컴퓨터비전시스템,3,3
43,전선,인공지능,3,3
44,전선,증강현실,3,3
45,전선,음성인식,3,3
46,전선,지능형시스템,3,3
47,전선,특허와창업,3,3
48,전선,소프트웨어특강2,3,3
