review,star,pos_neg
전공 두개 합친만큼 신경써야 점수가 나오는 신기한 강의,2,neg
재수강하러갑니다.시험 대부분 문제가 주관식으로 나오는데 구절 빈칸넣기라던가 스토리보다는 세세한 내용 알아야 풀수있음,1,neg
성적 너그러이주심. 강의력은 조금부족하긴한데 설명잘해주심,3,mid
1. 수강 자체는 굉장히 편함2. 기말고사는 어려운데 패스 자체에 영향을 미치진 않는듯,4,pos
1. 교수님이 인도사 전공으로 사실상 쟁점인도사2. 과제가 소소하게 많지만 어렵거나 시간이 많이 오래 과제는 아님,5,pos
"1. 별도의 과제는 없으나 팀플 발표 있음, 발표 점수는 학생이 매기는 방식이나 학점에 영향이 크진 않은듯2. 시험 전 주쯤에 시험 범위 가르쳐 주시니 그때부터 공부해도 됨3. 코로나 학기로 시험은 오픈북 논술형이었음, 일단 쭉 나열한 다음에 자기 의견 간단하게 넣으면 됨, 다만 시간이 촉박한듯",5,pos
교수님이 강의력이 워낙 좋으세요! 확실히 얻어가는 수업이 되실 거예요!,4,pos
"돔황챠..시험 어려움, 지엽적책 4권 과제 8개, 한개당 1.5페이지강의 부담없음 짧고 간결교수님은 괜찮은 분이신거 같음",2,neg
교수님들마다 강의가 달라서 재밌고 미래 이야기를 많이 해주셔서 좋았습니다 하지만 시험 형식과 질문이 예상과 달랐습니다,4,pos
야노 교수님이 설명도 잘 해주시고 질문도 많이하셔서 집중하면 늘 것 같긴하지만... 일본어로 질문하시면 히라가나만 아는 저로써는 굉장히 당황스럽고 따라가기 힘들었습니다 물론 더 공부를 해서 따라갈 수도 있겠지만 전 조금 어려웠습니다.. 교수님 자체는 괜찮습니다!,3,mid
부족한 점을 많이 말해주시며 피드백을 많이 해주신다,2,neg
교수님 이번이 세종대에서 첫강의심. 중간고사는 공부를 많이 못해서 성적이 썩 좋진 않지만 3번정도 정독했으면 결과 좋았을듯함. 중간에 성적이 대체적으로 잘나오고 기말은 조금 어려울거라고 말씀하신것 보니 성적안나온건 공부안한 본인탓임.. 나포함ㅠ과제는 총 3갠데 주제가 절때 어려운편이 아님. 학생들 편의를 최대한 봐주시려는건 있는데 교수님 표현이 조금 무뚝뚝하신 편인듯ㅎ,5,pos
