review,star,pos_neg,clean_review
전공 두개 합친만큼 신경써야 점수가 나오는 신기한 강의,2,neg,전공 두 개 합치다 신경 써다 점수 나오다 신기하다 강의
재수강하러갑니다.시험 대부분 문제가 주관식으로 나오는데 구절 빈칸넣기라던가 스토리보다는 세세한 내용 알아야 풀수있음,1,neg,재수강 하다 가다 시험 대부분 문제 주관 식 으로 나오다 구절 빈칸 넣기 라던가 스토리 보다는 세다 내용 알다 풀다
성적 너그러이주심. 강의력은 조금부족하긴한데 설명잘해주심,3,mid,성적 너그럽다 주심 강의 력 조금 부족하다 설명 잘해주다 심
1. 수강 자체는 굉장히 편함2. 기말고사는 어려운데 패스 자체에 영향을 미치진 않는듯,4,pos,수강 자체 굉장하다 편하다 기말고사 어렵다 패스 자체 에 영향 을 미치다 않다
1. 교수님이 인도사 전공으로 사실상 쟁점인도사2. 과제가 소소하게 많지만 어렵거나 시간이 많이 오래 과제는 아님,5,pos,교수 인도 사 전공 으로 사실 상 쟁점 인 도사 과제 소소하다 많다 어렵다 시간 많이 오래 과제 아니다
"1. 별도의 과제는 없으나 팀플 발표 있음, 발표 점수는 학생이 매기는 방식이나 학점에 영향이 크진 않은듯2. 시험 전 주쯤에 시험 범위 가르쳐 주시니 그때부터 공부해도 됨3. 코로나 학기로 시험은 오픈북 논술형이었음, 일단 쭉 나열한 다음에 자기 의견 간단하게 넣으면 됨, 다만 시간이 촉박한듯",5,pos,별도 과제 없다 팀 플 발표 있다 발표 점수 학생 매기 방식 이나 학점 에 영향 크다 않다 시험 전 쯤 에 시험 범위 가르치다 주시 니 그때 부터 공부 하다 되다 코로나 학기 로 시험 오픈 북 논술 형 이다 일단 쭉 나열하다 다음 에 자기 의견 간단하다 넣다 되다 다만 시간 촉박하다
교수님이 강의력이 워낙 좋으세요! 확실히 얻어가는 수업이 되실 거예요!,4,pos,교수 강의 력 워낙 좋다 확실하다 얻다 수업 되다 거 예요
"돔황챠..시험 어려움, 지엽적책 4권 과제 8개, 한개당 1.5페이지강의 부담없음 짧고 간결교수님은 괜찮은 분이신거 같음",2,neg,돔황챠 시험 어려움 지 엽 적 책 권 과제 개 한개 당 페이지 강의 부담 없다 짧다 간결 교수 괜찮다 분 이신 거 같다
교수님들마다 강의가 달라서 재밌고 미래 이야기를 많이 해주셔서 좋았습니다 하지만 시험 형식과 질문이 예상과 달랐습니다,4,pos,교수 들다 강의 달라 서 재밌다 미래 이야기 를 많이 해주다 좋다 하지만 시험 형식 과 질문 예상 과 다르다
야노 교수님이 설명도 잘 해주시고 질문도 많이하셔서 집중하면 늘 것 같긴하지만... 일본어로 질문하시면 히라가나만 아는 저로써는 굉장히 당황스럽고 따라가기 힘들었습니다 물론 더 공부를 해서 따라갈 수도 있겠지만 전 조금 어려웠습니다.. 교수님 자체는 괜찮습니다!,3,mid,야노 교수 설명 자다 해주시 고 질문 많이 하다 집중 하다 늘 같다 일본어 로 질문 하다 히라가나 만 알다 저 로써 굉장하다 당황 스럽다 따라가다 힘들다 물론 더 공부 를 하다 따라가다 수도 있다 전 조금 어렵다 교수 자체 괜찮다
부족한 점을 많이 말해주시며 피드백을 많이 해주신다,2,neg,부족하다 점 을 많이 말 해주다 피드백 을 많이 해주다
교수님 이번이 세종대에서 첫강의심. 중간고사는 공부를 많이 못해서 성적이 썩 좋진 않지만 3번정도 정독했으면 결과 좋았을듯함. 중간에 성적이 대체적으로 잘나오고 기말은 조금 어려울거라고 말씀하신것 보니 성적안나온건 공부안한 본인탓임.. 나포함ㅠ과제는 총 3갠데 주제가 절때 어려운편이 아님. 학생들 편의를 최대한 봐주시려는건 있는데 교수님 표현이 조금 무뚝뚝하신 편인듯ㅎ,5,pos,교수 이번 세종대 에서 첫 강의 심 중간고사 공부 를 많이 못 하다 성적 썩 좋다 않다 번 정도 정독 하다 결과 좋다 함 중간 에 성적 대 체적 으로 잘나오다 기 말 조금 어리다 말씀 하다 보다 성적 안나 온건 공 부안 본인 탓임 나 포함 ㅠ 과제 총 개다 주제가 절때 어렵다 편이 아니다 학생 편의 를 최대한 보다 건 있다 교수 표현 조금 무뚝뚝하다 펴다 ㅎ
