,lecture,professor
0,C프로그래밍및실습,강병현
1,C프로그래밍및실습,김도년
2,C프로그래밍및실습,김천식
3,C프로그래밍및실습,박태순
4,C프로그래밍및실습,이찬화
5,C프로그래밍및실습,전창재
6,C프로그래밍및실습,한동일
7,가상현실,이종원
8,기계학습,김청원
9,기계학습,유성준
10,기계학습,정철
11,기계학습,최유경
12,데이터베이스,김미숙
13,데이터베이스,변재욱
14,데이터베이스,신동일
15,멀티미디어프로그래밍,박상일
16,문제해결및실습:C++,문제해결및실습:C++
17,문제해결및실습:C++,문제해결및실습:C++
18,수치해석,Farman ALI
19,수치해석,박문규
20,수치해석,정재동
21,오픈소스SW개론,변정현
22,운영체제,김도년
23,운영체제,김청원
24,운영체제,박태순
25,운영체제,송재승
26,일반물리및시뮬레이션,송오영
27,자료구조및실습,Muhammad Raheel Bhutta
28,자료구조및실습,박동현
29,자료구조및실습,송영록
30,자료구조및실습,송원선
31,자료구조및실습,신동규
32,자료구조및실습,최준연
33,패턴인식,권순일
34,확률통계및프로그래밍,Mohammad Jalil Piran
35,확률통계및프로그래밍,김해광
36,확률통계및프로그래밍,안수엽
37,확률통계및프로그래밍,유영환
