lecture,professor,review,clean_text,star
Capstone디자인(산학협력프로젝트),"권기학, 문현준",보고서가 많은편이긴한데학점은퍼주네요  굳,보고서 많다 편이 기다 학점 퍼 주네 굳다,5
C프로그래밍및실습,김도년,수업끝나고 수업시간에 진행한 코드작성 못하면 남아서 될냐까지 해야함 그런거 빼고 낫밷...,수업 끝나다 수업 시간 진행 코드 작성 하다 남아 되다 하다 함 그렇다 빼다 낫밷,4
C프로그래밍및실습,김도년,실습끝까지 남기시는 거 뺴곤 아주좋으심 너그러우신편,실습 끝 남다 거 뺴곤 아주 좋다 심 너그럽다 편,5
C프로그래밍및실습,김도년,교수님 엄청 친절하시고 귀여우셔요..과제만열심히 제때제때하면 되니까 그거만으로도 충분히 실력 올릴 수 있습니다~,교수 님 친절하다 귀엽다 과제 제때 제때 하 되다 그거 충분하다 실력 올리다 수 있다,5
C프로그래밍및실습,김도년,교수님 과제많아서 시험준비는 과제한거 복습하면됨. 귀여우심,교수 님 과제 많다 시험 준비 과제 거 복습 하다 되다 여우 심,5
C프로그래밍및실습,김도년,일단 과제가 매우 많음. 이거는 정말 맘에들어요. 풀기만해도 실력이 늘긴 할듯. 하지만 문제풀이에 대한 설명이 좀 부족함. 질문을 했을경우 잘 설명해 주시기는 하는데 모든문제 다 물어 볼 수도 없고 일괄적으로 모범답안 같이 이렇게 풀어가는 논리가 바람직하다! 하고 설명 해주시기를 원하는데 점수만 100점이면 노가다를 뛰어서 풀든 알고리즘을 잘짜서 자동화로 만들었든 통과됨. 수업은 pdf 읽기 집중해서 들으면 들리기는 하는데 쉽지 않음. 본인이 실력에 자신이 있어서 교수님의 강의가 필요없다! 하면 추천 또 혼자서라도 찾아서 나는 독학으로 공부할 수 있다! 하면 추천. 그게 아니라면 힘들거임.,일단 과제 매우 많다 거 정말 맘 들다 풀기 만해 실력 늘다 하다 제풀이 대한 설명 좀 부족함 질문 하다 경우 자다 설명 하다 시기 하다 문제 물어 볼 수도 없다 일괄 적 모범 답안 풀다 논리 바람직하다 하다 설명 해주시 기르다 원하다 점수 점 이 노가다 뛰다 풀 알고리즘 짜다 자동화 만들다 통과 되다 수업 읽다 집중 하다 들다 들리다 기다 하다 쉬다 않다 본인 실력 자신 있다 교수 님 강의 필요없다 하다 추천 또 혼자 서다 찾다 나 독학 공부 하다 수 있다 하다 추천 그게 아니다 힘들다 임,5
C프로그래밍및실습,김도년,"일단 귀여우심 ㅇㅇ근데 이 과목 자체가 실습문제나 인증시험이나 호락호락 하지 않음, 사실 교수님한테 직접 배우는 건 그렇게 많지 않아서 c언어 노베면 올려주시는 녹강(이론)으로 거의 독학해야 됨, 대신 질문 굉장히 잘 받아주심~! 메일 보내드리면 답장 꼭 해주심! ( 전화도 왔었음 말로 설명해주시느라 )",일단 여우 심 ㅇㅇ 이 과목 자체 실습 문제 인증 시험 하다 않다 사실 교수 님 직접 배우다 건 많다 않다 언어 노 베다 올려주다 녹강 이론 거의 독학 하다 되다 대신 질문 굉장하다 자다 받다 주심 메일 보내다 드리다 답장 꼭 해 주심 전화 오다 말로 설명 해주다,5
C프로그래밍및실습,김도년,과제 쫌 있습니다. 수업에서 설명은 ppt읽어주는 형식이고 실제로는 실습이 더 많습니다. 시험은 과제꾸준히 했다면 잘 가져가실수있지만 난이도는 교수님들이 다같이 내시는건지 헬입니다.. 그래도 학점 잘주시니까 걱정은 안해도될거같습니다,과제 쫌 있다 수업 설명 읽다 형식 실제 실습 더 많다 시험 과제 꾸준하다 하다 자다 가져가다 난이도 교수 님 들이다 다 내시 건지다 헬입니 학점 주다 걱정 하다 되다 같다,2
C프로그래밍및실습,김도년,"개념은 혼자 공부하시고, 질문은 교수님께 드리면 됩니다.",개념 혼자 공부 하다 질문 교수 님 드리다 되다,5
C프로그래밍및실습,김도년,"강의 되게 열심히 해주십니다! 근데 가끔씩 강의 시간을 늦으셔요,,",강의 해주다 가끔 씩 강의 시간 늦다,2
